Animal,bacteria,virus,parasite,fungus,vagina,penis,anus,throat,eye,genital_area,mouth,blood,skin
bacterial_vaginosis,1,0,0,0,1,0,0,0,0,0,0,0,0
chlamydia,1,0,0,0,1,1,1,1,1,0,0,0,0
genital_warts,0,1,0,0,1,1,1,1,0,1,1,0,0
gonorrhea,1,0,0,0,1,1,1,1,1,0,0,0,0
hepatitis_B,0,1,0,0,0,0,0,0,0,0,0,1,0
herpes,0,1,0,0,1,1,1,0,0,1,1,0,0
hiv,0,1,0,0,0,0,0,0,0,0,0,1,0
scabies,0,0,1,0,0,0,0,0,0,0,0,0,1
syphilis,1,0,0,0,1,1,1,1,0,1,0,0,1
trichomoniasis,0,0,1,0,1,1,0,0,0,0,0,0,0
yeast,0,0,0,1,1,1,1,0,0,1,0,0,0
